	finished	start_time	finish_time	comment	ID	mode	cont_url	line1_url	line2_url	out_url
0	True	13:08 Tue 09/05	18:27 Tue 09/05	Job done /w 600 chains, 600 samples, 1000 burn in and 1 cores	0	twoline	./Data/data_shuffle/08-10-24/cont.dat	./Data/data_shuffle/08-10-24/line1.dat	./Data/data_shuffle/08-10-24/line2.dat	./Data/data_shuffle/08-10-24/
1	True	13:08 Tue 09/05	21:36 Tue 09/05	Job done /w 600 chains, 600 samples, 1000 burn in and 1 cores	1	twoline	./Data/data_shuffle/08-81-24/cont.dat	./Data/data_shuffle/08-81-24/line1.dat	./Data/data_shuffle/08-81-24/line2.dat	./Data/data_shuffle/08-81-24/
2	True	13:08 Tue 09/05	21:36 Tue 09/05	Job done /w 600 chains, 600 samples, 1000 burn in and 1 cores	2	twoline	./Data/data_shuffle/10-23-24/cont.dat	./Data/data_shuffle/10-23-24/line1.dat	./Data/data_shuffle/10-23-24/line2.dat	./Data/data_shuffle/10-23-24/
3	True	13:08 Tue 09/05	22:06 Tue 09/05	Job done /w 600 chains, 600 samples, 1000 burn in and 1 cores	3	twoline	./Data/data_shuffle/10-23-81/cont.dat	./Data/data_shuffle/10-23-81/line1.dat	./Data/data_shuffle/10-23-81/line2.dat	./Data/data_shuffle/10-23-81/
4	True	13:08 Tue 09/05	22:35 Tue 09/05	Job done /w 600 chains, 600 samples, 1000 burn in and 1 cores	4	twoline	./Data/data_shuffle/23-08-80/cont.dat	./Data/data_shuffle/23-08-80/line1.dat	./Data/data_shuffle/23-08-80/line2.dat	./Data/data_shuffle/23-08-80/
5	True	13:08 Tue 09/05	21:45 Tue 09/05	Job done /w 600 chains, 600 samples, 1000 burn in and 1 cores	5	twoline	./Data/data_shuffle/23-80-81/cont.dat	./Data/data_shuffle/23-80-81/line1.dat	./Data/data_shuffle/23-80-81/line2.dat	./Data/data_shuffle/23-80-81/
6	True	13:08 Tue 09/05	21:34 Tue 09/05	Job done /w 600 chains, 600 samples, 1000 burn in and 1 cores	6	twoline	./Data/data_shuffle/24-08-23/cont.dat	./Data/data_shuffle/24-08-23/line1.dat	./Data/data_shuffle/24-08-23/line2.dat	./Data/data_shuffle/24-08-23/
7	True	13:08 Tue 09/05	00:16 Wed 10/05	Job done /w 600 chains, 600 samples, 1000 burn in and 1 cores	7	twoline	./Data/data_shuffle/24-10-23/cont.dat	./Data/data_shuffle/24-10-23/line1.dat	./Data/data_shuffle/24-10-23/line2.dat	./Data/data_shuffle/24-10-23/
8	True	13:08 Tue 09/05	00:54 Wed 10/05	Job done /w 600 chains, 600 samples, 1000 burn in and 1 cores	8	twoline	./Data/data_shuffle/80-24-23/cont.dat	./Data/data_shuffle/80-24-23/line1.dat	./Data/data_shuffle/80-24-23/line2.dat	./Data/data_shuffle/80-24-23/
9	True	13:08 Tue 09/05	01:31 Wed 10/05	Job done /w 600 chains, 600 samples, 1000 burn in and 1 cores	9	twoline	./Data/data_shuffle/80-81-08/cont.dat	./Data/data_shuffle/80-81-08/line1.dat	./Data/data_shuffle/80-81-08/line2.dat	./Data/data_shuffle/80-81-08/
10	True	13:08 Tue 09/05	04:24 Wed 10/05	Job done /w 600 chains, 600 samples, 1000 burn in and 1 cores	10	twoline	./Data/data_shuffle/81-23-08/cont.dat	./Data/data_shuffle/81-23-08/line1.dat	./Data/data_shuffle/81-23-08/line2.dat	./Data/data_shuffle/81-23-08/
11	True	13:08 Tue 09/05	21:43 Tue 09/05	Job done /w 600 chains, 600 samples, 1000 burn in and 1 cores	11	twoline	./Data/data_shuffle/81-24-08/cont.dat	./Data/data_shuffle/81-24-08/line1.dat	./Data/data_shuffle/81-24-08/line2.dat	./Data/data_shuffle/81-24-08/
12	True	13:06 Tue 09/05	15:20 Tue 09/05	Job done /w 600 chains, 300 samples, 1000 burn in and 1 cores	12	line1	./Data/data_shuffle/08-10-24/cont.dat	./Data/data_shuffle/08-10-24/line1.dat	./Data/data_shuffle/08-10-24/line2.dat	./Data/data_shuffle/08-10-24/
13	True	13:06 Tue 09/05	15:46 Tue 09/05	Job done /w 600 chains, 300 samples, 1000 burn in and 1 cores	13	line1	./Data/data_shuffle/08-81-24/cont.dat	./Data/data_shuffle/08-81-24/line1.dat	./Data/data_shuffle/08-81-24/line2.dat	./Data/data_shuffle/08-81-24/
14	True	13:06 Tue 09/05	16:03 Tue 09/05	Job done /w 600 chains, 300 samples, 1000 burn in and 1 cores	14	line1	./Data/data_shuffle/10-23-24/cont.dat	./Data/data_shuffle/10-23-24/line1.dat	./Data/data_shuffle/10-23-24/line2.dat	./Data/data_shuffle/10-23-24/
15	True	13:06 Tue 09/05	16:10 Tue 09/05	Job done /w 600 chains, 300 samples, 1000 burn in and 1 cores	15	line1	./Data/data_shuffle/10-23-81/cont.dat	./Data/data_shuffle/10-23-81/line1.dat	./Data/data_shuffle/10-23-81/line2.dat	./Data/data_shuffle/10-23-81/
16	True	13:08 Tue 09/05	15:11 Tue 09/05	Job done /w 600 chains, 300 samples, 1000 burn in and 1 cores	16	line1	./Data/data_shuffle/23-08-80/cont.dat	./Data/data_shuffle/23-08-80/line1.dat	./Data/data_shuffle/23-08-80/line2.dat	./Data/data_shuffle/23-08-80/
17	True	13:33 Thu 11/05	14:19 Thu 11/05	Job done /w 300 chains, 200 samples, 1000 burn in and 1 cores	17	line1	./Data/data_shuffle/23-80-81/cont.dat	./Data/data_shuffle/23-80-81/line1.dat	./Data/data_shuffle/23-80-81/line2.dat	./Data/data_shuffle/23-80-81/
18	True	14:20 Thu 11/05	14:53 Thu 11/05	Job done /w 300 chains, 200 samples, 1000 burn in and 1 cores	18	line1	./Data/data_shuffle/24-08-23/cont.dat	./Data/data_shuffle/24-08-23/line1.dat	./Data/data_shuffle/24-08-23/line2.dat	./Data/data_shuffle/24-08-23/
19	True	14:53 Thu 11/05	15:29 Thu 11/05	Job done /w 300 chains, 200 samples, 1000 burn in and 1 cores	19	line1	./Data/data_shuffle/24-10-23/cont.dat	./Data/data_shuffle/24-10-23/line1.dat	./Data/data_shuffle/24-10-23/line2.dat	./Data/data_shuffle/24-10-23/
